reclon,reclat,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-78.83159113,42.95162551,0,0,144,193.0770982,2020/11/03 19:05:38+00,,,,,,,,,,,,,,,,,,,,,
-78.83155843,42.95162659,0,0,145,193.2023008,2020/11/03 19:05:40+00,,,,,,,,,,,,,,,,,,,,,
-78.83152087,42.95162795,0,0,146,193.7080342,2020/11/03 19:05:42+00,,,,,,,,,,,,,,,,,,,,,
-78.83149156,42.95162195,0,0,147,193.7434859,2020/11/03 19:05:44+00,,,,,,,,,,,,,,,,,,,,,
-78.83146631,42.95162673,0,0,148,194.083699,2020/11/03 19:05:46+00,,,,,,,,,,,,,,,,,,,,,
-78.83142563,42.95161834,0,0,149,193.8083622,2020/11/03 19:05:48+00,,,,,,,,,,,,,,,,,,,,,
-78.83140053,42.95161943,0,0,150,194.0243623,2020/11/03 19:05:49+00,,,,,,,,,,,,,,,,,,,,,
-78.83136254,42.95162373,0,0,151,193.4297876,2020/11/03 19:05:51+00,,,,,,,,,,,,,,,,,,,,,
-78.8313316,42.95161913,0,0,152,194.3717775,2020/11/03 19:05:53+00,,,,,,,,,,,,,,,,,,,,,
-78.83130383,42.95162002,0,0,153,193.6329858,2020/11/03 19:05:54+00,,,,,,,,,,,,,,,,,,,,,
-78.83126901,42.95162272,0,0,154,194.3841606,2020/11/03 19:05:56+00,,,,,,,,,,,,,,,,,,,,,
-78.83123814,42.95162223,0,0,155,193.9799394,2020/11/03 19:05:58+00,,,,,,,,,,,,,,,,,,,,,
-78.83120161,42.95162665,0,0,156,193.9367624,2020/11/03 19:06:00+00,,,,,,,,,,,,,,,,,,,,,
-78.83117502,42.95162543,0,0,157,194.079853,2020/11/03 19:06:01+00,,,,,,,,,,,,,,,,,,,,,
-78.83113358,42.95162436,0,0,158,194.8031044,2020/11/03 19:06:03+00,,,,,,,,,,,,,,,,,,,,,
-78.83110223,42.95162092,0,0,159,193.8917743,2020/11/03 19:06:05+00,,,,,,,,,,,,,,,,,,,,,
-78.83106857,42.9516181,0,0,160,194.3543359,2020/11/03 19:06:07+00,,,,,,,,,,,,,,,,,,,,,
-78.83103995,42.95161821,0,0,161,194.3852209,2020/11/03 19:06:09+00,,,,,,,,,,,,,,,,,,,,,
-78.83099713,42.95161416,0,0,162,194.1011572,2020/11/03 19:06:11+00,,,,,,,,,,,,,,,,,,,,,
-78.83096894,42.95161478,0,0,163,194.1689012,2020/11/03 19:06:12+00,,,,,,,,,,,,,,,,,,,,,
-78.83093442,42.95161838,0,0,164,194.0623987,2020/11/03 19:06:14+00,,,,,,,,,,,,,,,,,,,,,
-78.83090027,42.95161771,0,0,165,194.4685052,2020/11/03 19:06:16+00,,,,,,,,,,,,,,,,,,,,,
-78.83086736,42.95161987,0,0,166,194.0026451,2020/11/03 19:06:18+00,,,,,,,,,,,,,,,,,,,,,
-78.83084227,42.95161818,0,0,167,194.0155779,2020/11/03 19:06:19+00,,,,,,,,,,,,,,,,,,,,,
-78.83081681,42.95161919,0,0,168,194.4586707,2020/11/03 19:06:20+00,,,,,,,,,,,,,,,,,,,,,
-78.83079083,42.95161866,0,0,169,194.2672861,2020/11/03 19:06:22+00,,,,,,,,,,,,,,,,,,,,,
-78.83075945,42.9516187,0,0,170,194.2802104,2020/11/03 19:06:24+00,,,,,,,,,,,,,,,,,,,,,
-78.83073295,42.9516177,0,0,171,194.9001022,2020/11/03 19:06:26+00,,,,,,,,,,,,,,,,,,,,,
-78.83069882,42.9516155,0,0,172,194.2296873,2020/11/03 19:06:28+00,,,,,,,,,,,,,,,,,,,,,
-78.83067128,42.95161502,0,0,173,195.0515358,2020/11/03 19:06:33+00,,,,,,,,,,,,,,,,,,,,,
-78.83064623,42.95161956,0,0,174,194.4360901,2020/11/03 19:06:35+00,,,,,,,,,,,,,,,,,,,,,
-78.8305992,42.95161748,0,0,175,194.7949073,2020/11/03 19:06:37+00,,,,,,,,,,,,,,,,,,,,,
-78.83057259,42.95161455,0,0,176,194.8066188,2020/11/03 19:06:39+00,,,,,,,,,,,,,,,,,,,,,
-78.83053522,42.95161359,0,0,177,194.9040285,2020/11/03 19:06:42+00,,,,,,,,,,,,,,,,,,,,,
-78.8305015,42.95160816,0,0,178,195.0480315,2020/11/03 19:06:44+00,,,,,,,,,,,,,,,,,,,,,
-78.83047492,42.95160824,0,0,179,194.7765393,2020/11/03 19:06:45+00,,,,,,,,,,,,,,,,,,,,,
-78.83044391,42.95160522,0,0,180,195.2394791,2020/11/03 19:06:47+00,,,,,,,,,,,,,,,,,,,,,
-78.83040829,42.95160703,0,0,181,195.1862747,2020/11/03 19:06:49+00,,,,,,,,,,,,,,,,,,,,,
-78.83037133,42.95161091,0,0,182,195.2534491,2020/11/03 19:06:51+00,,,,,,,,,,,,,,,,,,,,,
-78.83033525,42.95160827,0,0,183,195.2620249,2020/11/03 19:06:53+00,,,,,,,,,,,,,,,,,,,,,
-78.83030442,42.9516071,0,0,184,194.8406274,2020/11/03 19:06:55+00,,,,,,,,,,,,,,,,,,,,,
-78.83026571,42.95160533,0,0,185,194.6084073,2020/11/03 19:06:57+00,,,,,,,,,,,,,,,,,,,,,
-78.83023228,42.95160514,0,0,186,195.070592,2020/11/03 19:06:59+00,,,,,,,,,,,,,,,,,,,,,
-78.83023007,42.9516337,0,0,187,195.1011296,2020/11/03 19:07:04+00,,,,,,,,,,,,,,,,,,,,,
-78.83023012,42.95165623,0,0,188,195.082683,2020/11/03 19:07:06+00,,,,,,,,,,,,,,,,,,,,,
-78.8301991,42.95165871,0,0,189,194.9986707,2020/11/03 19:07:10+00,,,,,,,,,,,,,,,,,,,,,
-78.83016224,42.95165541,0,0,190,195.5799861,2020/11/03 19:07:13+00,,,,,,,,,,,,,,,,,,,,,
-78.8301229,42.95164626,0,0,191,194.5503037,2020/11/03 19:07:15+00,,,,,,,,,,,,,,,,,,,,,
-78.83009004,42.95163819,0,0,192,195.2929257,2020/11/03 19:07:17+00,,,,,,,,,,,,,,,,,,,,,
-78.83006103,42.95162779,0,0,193,194.3413758,2020/11/03 19:07:19+00,,,,,,,,,,,,,,,,,,,,,
-78.83003716,42.95162201,0,0,194,195.1770582,2020/11/03 19:07:21+00,,,,,,,,,,,,,,,,,,,,,
-78.83001277,42.95161982,0,0,195,195.2738069,2020/11/03 19:07:22+00,,,,,,,,,,,,,,,,,,,,,
-78.82998372,42.95162192,0,0,196,195.0272574,2020/11/03 19:07:23+00,,,,,,,,,,,,,,,,,,,,,
-78.82993705,42.95161652,0,0,197,195.2079281,2020/11/03 19:07:25+00,,,,,,,,,,,,,,,,,,,,,
-78.82990248,42.95161116,0,0,198,195.3865919,2020/11/03 19:07:27+00,,,,,,,,,,,,,,,,,,,,,
-78.82986718,42.95160939,0,0,199,195.2892377,2020/11/03 19:07:29+00,,,,,,,,,,,,,,,,,,,,,
-78.82984244,42.95160887,0,0,200,195.7142876,2020/11/03 19:07:30+00,,,,,,,,,,,,,,,,,,,,,
-78.82980408,42.95161218,0,0,201,195.4929167,2020/11/03 19:07:32+00,,,,,,,,,,,,,,,,,,,,,
-78.82974743,42.95161384,0,0,202,195.1971042,2020/11/03 19:07:34+00,,,,,,,,,,,,,,,,,,,,,
-78.82972258,42.95161155,0,0,203,195.3253293,2020/11/03 19:07:36+00,,,,,,,,,,,,,,,,,,,,,
-78.82969626,42.95160508,0,0,204,195.3215519,2020/11/03 19:07:38+00,,,,,,,,,,,,,,,,,,,,,
-78.82966459,42.95160423,0,0,205,195.6691007,2020/11/03 19:07:41+00,,,,,,,,,,,,,,,,,,,,,
-78.82968502,42.95162804,0,0,206,195.6060916,2020/11/03 19:07:46+00,,,,,,,,,,,,,,,,,,,,,
-78.82968178,42.9516616,0,0,207,195.5322258,2020/11/03 19:07:49+00,,,,,,,,,,,,,,,,,,,,,
-78.82967879,42.95169047,0,0,208,195.6387199,2020/11/03 19:07:52+00,,,,,,,,,,,,,,,,,,,,,
-78.82967105,42.95171335,0,0,209,195.4300995,2020/11/03 19:07:56+00,,,,,,,,,,,,,,,,,,,,,
-78.82967297,42.95173451,0,0,210,195.240142,2020/11/03 19:07:59+00,,,,,,,,,,,,,,,,,,,,,
-78.82964085,42.95173384,0,0,211,195.219296,2020/11/03 19:08:02+00,,,,,,,,,,,,,,,,,,,,,
-78.82961356,42.95168628,0,0,212,194.9939697,2020/11/03 19:08:04+00,,,,,,,,,,,,,,,,,,,,,
-78.82959665,42.951665,0,0,213,195.2076077,2020/11/03 19:08:05+00,,,,,,,,,,,,,,,,,,,,,
-78.82955994,42.95163983,0,0,214,195.0865626,2020/11/03 19:08:07+00,,,,,,,,,,,,,,,,,,,,,
-78.82952915,42.9516327,0,0,215,195.3177696,2020/11/03 19:08:09+00,,,,,,,,,,,,,,,,,,,,,
-78.82950308,42.95163054,0,0,216,195.732936,2020/11/03 19:08:11+00,,,,,,,,,,,,,,,,,,,,,
